1,192.168.1.1,0.018773007,0.067651242
2,181.167.118.1,0.020198337,0.099530487
3,,Unknown,"Unknown	IPs: []"
4,,Unknown,"Unknown	IPs: []"
5,,Unknown,"Unknown	IPs: []"
6,200.89.165.237,-0.015776745,-0.70509623
7,200.89.165.222,0.001104093,-0.327535644
8,208.178.244.213,-0.00086031,-0.371471901
9,67.17.68.234,0.156044126,3.137887663
10,,Unknown,"Unknown	IPs: []"
11,4.69.133.101,0.099543524,1.874182612
12,4.69.133.101,-0.007129741,-0.511695395
13,195.50.119.98,0.008603811,-0.159795265
14,146.97.33.41,-0.012674999,-0.635721883
15,146.97.33.26,0.013710093,-0.045587018
16,146.97.37.186,-0.023497629,-0.877783235
17,146.97.130.2,0.025381875,0.215466649
18,192.84.5.13,0.009968066,-0.129282034
19,192.84.5.58,-0.033492231,-1.101324736
20,193.60.89.241,0.005885708,-0.220588961
21,131.111.150.25,0.001940143,-0.308836352
