ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.ru.ac.za,0.8,89,29,60,0.325842697,0.475935635,4.508098649,
www.ru.ac.za,0.8,109,40,69,0.366972477,0.479034749,4.220480178,
www.ru.ac.za,0.8,129,44,85,0.341085271,0.487397572,4.302598139,
www.ru.ac.za,0.8,149,57,92,0.382550336,0.491836287,4.026064872,
www.ru.ac.za,0.9,9,0,9,0,0.498259263,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,29,1,28,0.034482759,0.485174232,13.59398859,
www.ru.ac.za,0.9,49,12,37,0.244897959,0.489464201,5.056291609,
www.ru.ac.za,0.9,69,23,46,0.333333333,0.492386917,4.308238644,
www.ru.ac.za,0.9,89,29,60,0.325842697,0.479554803,4.474076326,
www.ru.ac.za,0.9,109,40,69,0.366972477,0.480082062,4.211273078,
www.ru.ac.za,0.9,129,44,85,0.341085271,0.484913378,4.324640199,
www.ru.ac.za,0.9,149,57,92,0.382550336,0.489090213,4.048669853,
www.ru.ac.za,1,9,0,9,0,0.517693996,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,1,29,1,28,0.034482759,0.517693996,12.74006078,
www.ru.ac.za,1,49,12,37,0.244897959,0.517693996,4.780572599,
www.ru.ac.za,1,69,23,46,0.333333333,0.517693996,4.097633657,
www.ru.ac.za,1,89,29,60,0.325842697,0.517693996,4.144465276,
www.ru.ac.za,1,109,40,69,0.366972477,0.517693996,3.905312165,
www.ru.ac.za,1,129,44,85,0.341085271,0.517693996,4.05080202,
www.ru.ac.za,1,149,57,92,0.382550336,0.517693996,3.824971533,
