ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.auckland.ac.nz,0.7,149,71,78,0.476510067,0.382421263,4.639461316,
www.auckland.ac.nz,0.8,9,0,9,0,0.379644326,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.8,29,0,29,0,0.379458146,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.8,49,4,45,0.081632653,0.376697053,11.37945469,
www.auckland.ac.nz,0.8,69,18,51,0.260869565,0.385246559,6.22436646,
www.auckland.ac.nz,0.8,89,36,53,0.404494382,0.384516811,5.008112208,
www.auckland.ac.nz,0.8,109,50,59,0.458715596,0.378105309,4.78256742,
www.auckland.ac.nz,0.8,129,63,66,0.488372093,0.397253724,4.411662014,
www.auckland.ac.nz,0.8,149,71,78,0.476510067,0.385966058,4.59685151,
www.auckland.ac.nz,0.9,9,0,9,0,0.384034409,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.9,29,0,29,0,0.380948505,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,0.9,49,4,45,0.081632653,0.376638378,11.38122746,
www.auckland.ac.nz,0.9,69,18,51,0.260869565,0.383315037,6.25573101,
www.auckland.ac.nz,0.9,89,36,53,0.404494382,0.383429275,5.02231692,
www.auckland.ac.nz,0.9,109,50,59,0.458715596,0.380027872,4.758372383,
www.auckland.ac.nz,0.9,129,63,66,0.488372093,0.394134391,4.446577626,
www.auckland.ac.nz,0.9,149,71,78,0.476510067,0.388975755,4.561283408,
www.auckland.ac.nz,1,9,0,9,0,0.393468142,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,1,29,0,29,0,0.393468142,No se han perdido paquetes, no se puede calcular el throughput
www.auckland.ac.nz,1,49,4,45,0.081632653,0.393468142,10.89441964,
www.auckland.ac.nz,1,69,18,51,0.260869565,0.393468142,6.094307285,
www.auckland.ac.nz,1,89,36,53,0.404494382,0.393468142,4.89417854,
www.auckland.ac.nz,1,109,50,59,0.458715596,0.393468142,4.595833667,
www.auckland.ac.nz,1,129,63,66,0.488372093,0.393468142,4.454106899,
www.auckland.ac.nz,1,149,71,78,0.476510067,0.393468142,4.509205368,
