ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.sfu.ca,0.9,69,24,45,0.347826087,0.267322843,7.768344604
www.sfu.ca,0.9,89,29,60,0.325842697,0.263790891,8.133581803
www.sfu.ca,0.9,109,43,66,0.394495413,0.263478032,7.400826777
www.sfu.ca,0.9,129,54,75,0.418604651,0.260089197,7.27815485
www.sfu.ca,0.9,149,60,89,0.402684564,0.276608177,6.977472343
www.sfu.ca,1,9,4,5,0.444444444,0.329471111,5.575958693
www.sfu.ca,1,29,11,18,0.379310345,0.329471111,6.03574586
www.sfu.ca,1,49,16,33,0.326530612,0.329471111,6.505285142
www.sfu.ca,1,69,24,45,0.347826087,0.329471111,6.302998638
www.sfu.ca,1,89,29,60,0.325842697,0.329471111,6.512148465
www.sfu.ca,1,109,43,66,0.394495413,0.329471111,5.918440828
www.sfu.ca,1,129,54,75,0.418604651,0.329471111,5.745479296
www.sfu.ca,1,149,60,89,0.402684564,0.329471111,5.857951852
