ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.pku.edu.cn,0.82,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.82,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.83,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.84,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.85,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.86,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,9,9,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,29,29,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,49,49,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,69,69,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,89,89,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,109,109,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,129,129,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
www.pku.edu.cn,0.87,149,149,0,1.0,-1,No se puede estimar el RTT ya que se han perdido todos los paquetes
