ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.cam.ac.uk,0.8,149,84,65,0.563758389,0.284790388,5.727614681
www.cam.ac.uk,0.9,9,5,4,0.555555556,0.353167975,4.652651958
www.cam.ac.uk,0.9,29,18,11,0.620689655,0.31589924,4.921072853
www.cam.ac.uk,0.9,49,32,17,0.653061224,0.306351957,4.947069617
www.cam.ac.uk,0.9,69,40,29,0.579710145,0.297560812,5.405855647
www.cam.ac.uk,0.9,89,59,30,0.662921348,0.29738623,5.058174086
www.cam.ac.uk,0.9,109,70,39,0.642201835,0.292027459,5.233426988
www.cam.ac.uk,0.9,129,78,51,0.604651163,0.28620999,5.503112538
www.cam.ac.uk,0.9,149,84,65,0.563758389,0.286410064,5.695224474
www.cam.ac.uk,1,9,5,4,0.555555556,0.378906012,4.336610194
www.cam.ac.uk,1,29,18,11,0.620689655,0.378906012,4.102767251
www.cam.ac.uk,1,49,32,17,0.653061224,0.378906012,3.999789949
www.cam.ac.uk,1,69,40,29,0.579710145,0.378906012,4.245302912
www.cam.ac.uk,1,89,59,30,0.662921348,0.378906012,3.96993258
www.cam.ac.uk,1,109,70,39,0.642201835,0.378906012,4.033465651
www.cam.ac.uk,1,129,78,51,0.604651163,0.378906012,4.156824486
www.cam.ac.uk,1,149,84,65,0.563758389,0.378906012,4.304945176
