ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput
www.ru.ac.za,0.88,9,0,9,0.0,0.497154739544,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,29,0,29,0.0,0.492424736214,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,49,0,49,0.0,0.486112673195,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,69,0,69,0.0,0.490469089315,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,89,0,89,0.0,0.528862209337,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,109,9,100,0.0825688073394,0.505130588195,8.4378918715
www.ru.ac.za,0.88,129,22,107,0.170542635659,0.506757403778,5.8523331629
www.ru.ac.za,0.88,149,35,114,0.234899328859,0.493426372377,5.12132555139
www.ru.ac.za,0.89,9,0,9,0.0,0.498237860482,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,29,0,29,0.0,0.492602245639,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,49,0,49,0.0,0.486091241343,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,69,0,69,0.0,0.490248093241,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,89,0,89,0.0,0.528243903078,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,109,9,100,0.0825688073394,0.506202124296,8.42003041791
www.ru.ac.za,0.89,129,22,107,0.170542635659,0.507352204297,5.84547210903
www.ru.ac.za,0.89,149,35,114,0.234899328859,0.494575914496,5.10942206144
www.ru.ac.za,0.9,9,0,9,0.0,0.499413822752,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,29,0,29,0.0,0.492860186048,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,49,0,49,0.0,0.486132444821,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,69,0,69,0.0,0.490007897125,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,89,0,89,0.0,0.527384662279,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,109,9,100,0.0825688073394,0.507254272631,8.40256556554
www.ru.ac.za,0.9,129,22,107,0.170542635659,0.507977859954,5.83827247893
www.ru.ac.za,0.9,149,35,114,0.234899328859,0.495819922392,5.09660256569
www.ru.ac.za,0.91,9,0,9,0.0,0.500688140434,No se han perdido paquetes, no se puede calcular el throughput
