ip,alpha,total,failed,succeeded,lossProbability,ertt,rttAvg,throughput,
www.sfu.ca,0.6,29,0,29,0,0.267490171,0.269556407,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,49,0,49,0,0.271617754,0.268249521,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,69,0,69,0,0.264704179,0.266934695,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,89,0,89,0,0.256507495,0.265379673,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,109,0,109,0,0.258851976,0.264681263,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,129,0,129,0,0.2649382,0.264779583,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.6,149,0,149,0,0.263478155,0.264756792,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,9,0,9,0,0.264202839,0.270912833,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,29,0,29,0,0.266961291,0.269556407,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,49,0,49,0,0.269879075,0.268249521,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,69,0,69,0,0.264492011,0.266934695,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,89,0,89,0,0.258249735,0.265379673,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,109,0,109,0,0.259365674,0.264681263,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,129,0,129,0,0.264683788,0.264779583,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.7,149,0,149,0,0.264662945,0.264756792,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,9,0,9,0,0.270249402,0.270912833,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,29,0,29,0,0.266741003,0.269556407,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,49,0,49,0,0.268190479,0.268249521,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,69,0,69,0,0.264189831,0.266934695,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,89,0,89,0,0.259776902,0.265379673,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,109,0,109,0,0.259667417,0.264681263,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,129,0,129,0,0.264418032,0.264779583,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.8,149,0,149,0,0.265474072,0.264756792,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,9,0,9,0,0.282357305,0.270912833,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,29,0,29,0,0.269147699,0.269556407,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,49,0,49,0,0.267099565,0.268249521,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,69,0,69,0,0.264165578,0.266934695,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,89,0,89,0,0.260895554,0.265379673,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,109,0,109,0,0.260272107,0.264681263,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,129,0,129,0,0.264188322,0.264779583,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,0.9,149,0,149,0,0.265436725,0.264756792,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,9,0,9,0,0.305539131,0.270912833,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,29,0,29,0,0.305539131,0.269556407,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,49,0,49,0,0.305539131,0.268249521,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,69,0,69,0,0.305539131,0.266934695,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,89,0,89,0,0.305539131,0.265379673,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,109,0,109,0,0.305539131,0.264681263,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,129,0,129,0,0.305539131,0.264779583,No se han perdido paquetes, no se puede calcular el throughput
www.sfu.ca,1,149,0,149,0,0.305539131,0.264756792,No se han perdido paquetes, no se puede calcular el throughput
