ip,alpha,total,failed,succeeded,lossProbability,ertt,throughput,
www.ru.ac.za,0.88,69,0,69,0,0.490469089,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,89,0,89,0,0.528862209,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.88,109,9,100,0.082568807,0.505130588,8.437891872,
www.ru.ac.za,0.88,129,22,107,0.170542636,0.506757404,5.852333163,
www.ru.ac.za,0.88,149,35,114,0.234899329,0.493426372,5.121325551,
www.ru.ac.za,0.89,9,0,9,0,0.49823786,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,29,0,29,0,0.492602246,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,49,0,49,0,0.486091241,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,69,0,69,0,0.490248093,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,89,0,89,0,0.528243903,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.89,109,9,100,0.082568807,0.506202124,8.420030418,
www.ru.ac.za,0.89,129,22,107,0.170542636,0.507352204,5.845472109,
www.ru.ac.za,0.89,149,35,114,0.234899329,0.494575914,5.109422061,
www.ru.ac.za,0.9,9,0,9,0,0.499413823,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,29,0,29,0,0.492860186,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,49,0,49,0,0.486132445,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,69,0,69,0,0.490007897,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,89,0,89,0,0.527384662,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.9,109,9,100,0.082568807,0.507254273,8.402565566,
www.ru.ac.za,0.9,129,22,107,0.170542636,0.50797786,5.838272479,
www.ru.ac.za,0.9,149,35,114,0.234899329,0.495819922,5.096602566,
www.ru.ac.za,0.91,9,0,9,0,0.50068814,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,29,0,29,0,0.493233177,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,49,0,49,0,0.486262069,No se han perdido paquetes, no se puede calcular el throughput
www.ru.ac.za,0.91,69,0,69,0,0.489757496,No se han perdido paquetes, no se puede calcular el throughput
